cond, k, gepp_error, iter_error
1.7494e+14, 7, 4.4895e-44, 1.0463e-100
1.5028e+02, 7, 2.5847e-111, 2.5847e-111
4.4391e+12, 7, 2.3244e-59, 8.8570e-103
5.5841e+11, 7, 1.1264e-52, 1.4036e-102
6.1547e+01, 7, 2.5816e-111, 2.5816e-111
4.0967e+07, 7, 5.6621e-72, 4.0813e-106
2.7617e+13, 7, 3.4226e-38, 1.0154e-100
8.1109e+03, 7, 1.0036e-104, 7.7796e-110
2.5955e+01, 7, 9.6353e-112, 9.6353e-112
2.4944e+08, 7, 1.3195e-77, 7.6301e-106
1.7493e+02, 7, 4.5407e-111, 4.5407e-111
3.2568e+11, 7, 8.4827e-54, 7.0911e-103
1.4752e+07, 7, 2.0881e-81, 9.3524e-106
1.6858e+03, 7, 7.0361e-110, 2.1036e-111
9.9139e+01, 7, 4.9835e-111, 4.9835e-111
4.9990e+01, 7, 3.9590e-111, 3.9590e-111
1.6995e+13, 7, 1.3196e-41, 4.6476e-101
9.5701e+13, 7, 4.0748e-26, 5.8619e-99
2.0660e+03, 7, 7.4836e-110, 1.6826e-110
2.3653e+06, 7, 1.4203e-97, 5.7792e-109
1.6282e+00, 7, 1.4963e-112, 1.4963e-112
5.2923e+03, 7, 8.2534e-107, 5.1966e-110
9.4971e+09, 7, 1.4312e-67, 3.2735e-103
2.1739e+08, 7, 8.3354e-92, 2.6721e-105
1.6310e+01, 7, 2.7538e-111, 2.7538e-111
4.3908e+02, 7, 1.0685e-109, 4.0291e-111
3.0781e+15, 7, 2.6107e-17, 3.4282e-100
2.1657e+07, 7, 3.2853e-76, 6.8596e-107
4.0621e+07, 7, 1.0620e-97, 2.9084e-106
9.2200e+07, 7, 8.2179e-82, 1.2871e-106
5.2880e+11, 7, 1.2469e-50, 2.2306e-103
1.4360e+08, 7, 9.3267e-73, 6.2042e-105
5.1940e+01, 7, 2.8895e-112, 2.8895e-112
6.5865e+01, 7, 1.4733e-110, 1.4733e-110
2.8161e+14, 7, 6.8007e-26, 9.8381e-99
2.9408e+00, 7, 1.6258e-112, 1.6258e-112
6.7354e+07, 7, 1.9649e-89, 5.2766e-106
3.6520e+00, 8, 2.4186e-127, 2.4186e-127
2.3688e+10, 8, 5.5583e-65, 6.0389e-120
4.4957e+06, 8, 2.0764e-99, 2.8628e-123
5.6509e+06, 8, 3.8321e-82, 7.0704e-123
1.2913e+13, 8, 5.9837e-35, 3.9578e-117
1.5277e+04, 8, 3.2066e-113, 3.5477e-126
1.1626e+12, 8, 3.1486e-53, 9.5786e-119
1.2468e+02, 8, 5.2602e-126, 5.2602e-126
1.5030e+04, 8, 4.7157e-107, 1.8187e-126
6.3629e+02, 8, 5.6631e-125, 4.9425e-127
2.2571e+04, 8, 1.8615e-107, 1.0218e-126
5.2398e+04, 8, 1.9349e-108, 1.8507e-125
2.2564e+05, 8, 1.5595e-105, 4.2789e-125
4.5451e+10, 8, 6.9861e-50, 1.1250e-118
9.5849e+05, 8, 9.6198e-94, 1.6206e-124
1.2600e+10, 8, 7.8395e-62, 1.5841e-120
1.9525e+01, 8, 4.0427e-127, 4.0427e-127
4.3175e+04, 8, 3.6149e-114, 4.3517e-125
1.3187e+02, 8, 1.7377e-114, 4.4006e-127
9.4352e+02, 8, 6.2830e-118, 1.0712e-126
1.1914e+03, 8, 1.3659e-115, 1.7422e-126
8.6154e+02, 8, 5.7873e-118, 6.9411e-127
2.5489e+12, 8, 5.1762e-36, 3.7666e-118
1.2881e+07, 8, 9.4951e-84, 4.4268e-122
2.9126e+08, 8, 1.1777e-78, 1.7150e-122
1.3674e+16, 8, 6.6386e-06, 8.5598e-32
8.1241e+13, 8, 2.0806e-25, 3.7105e-116
7.7398e+10, 8, 1.7071e-74, 1.4231e-119
2.9044e+12, 8, 5.1170e-46, 4.3508e-118
4.4920e+09, 8, 5.1441e-69, 1.6634e-120
7.9590e+00, 8, 2.2533e-127, 2.2533e-127
1.6067e+10, 8, 2.9870e-67, 9.7765e-121
1.1100e+14, 8, 4.9605e-28, 1.1020e-116
1.6886e+04, 8, 1.7131e-116, 8.0075e-126
9.2475e+01, 8, 3.4906e-126, 3.4906e-126
6.2414e+02, 8, 1.2912e-120, 8.1629e-128
4.9889e+10, 8, 8.2842e-63, 5.0412e-119
1.1588e+14, 8, 8.4947e-20, 1.0951e-115
1.2981e+02, 8, 6.7520e-117, 9.3880e-128
2.8821e+06, 8, 6.5584e-85, 7.3668e-124
2.1071e+13, 8, 1.1007e-38, 1.0047e-116
2.8497e+11, 8, 9.2215e-47, 1.3706e-118
1.0124e+10, 8, 4.1489e-57, 3.1443e-119
1.0732e+03, 8, 4.2609e-125, 1.5945e-127
2.2957e+00, 8, 1.3551e-126, 1.3551e-126
2.2453e+00, 8, 9.1256e-127, 9.1256e-127
1.2847e+02, 8, 8.7469e-127, 8.7469e-127
8.9958e+08, 8, 1.7227e-68, 7.1940e-121
9.0166e+13, 8, 8.0994e-26, 2.3009e-116
3.9403e+04, 8, 1.3998e-103, 1.4889e-125
